===START===
transaction_id,customer_id,transaction_date,amount,transaction_type,product_category,payment_method
TXN039,CUST015,2023-11-30,125.00,purchase,home_goods,credit_card
TXN040,CUST015,2023-09-14,78.99,purchase,clothing,paypal
TXN041,CUST016,2024-12-31,215.50,purchase,electronics,credit_card
TXN042,CUST016,2024-12-28,165.00,purchase,clothing,credit_card
TXN043,CUST016,2024-12-15,98.75,purchase,books,debit_card
TXN044,CUST017,2024-11-22,85.99,purchase,electronics,credit_card
TXN045,CUST017,2024-10-08,59.50,purchase,clothing,paypal
TXN046,CUST018,2023-10-12,280.00,purchase,electronics,credit_card
TXN047,CUST018,2023-08-25,195.50,purchase,jewelry,credit_card
TXN048,CUST019,2024-12-27,520.00,purchase,electronics,credit_card
TXN049,CUST019,2024-12-18,380.50,purchase,jewelry,paypal
TXN050,CUST019,2024-12-05,245.99,purchase,clothing,credit_card
TXN051,CUST019,2024-11-20,310.00,purchase,home_goods,credit_card
TXN052,CUST020,2024-11-28,72.50,purchase,books,debit_card
TXN053,CUST020,2024-10-15,98.99,purchase,clothing,credit_card
TXN054,CUST021,2023-07-18,58.00,purchase,books,debit_card
TXN055,CUST021,2023-05-30,85.50,purchase,clothing,paypal
TXN056,CUST022,2024-12-22,178.99,purchase,electronics,credit_card
TXN057,CUST022,2024-11-14,135.00,purchase,home_goods,credit_card
TXN058,CUST023,2023-06-20,92.50,purchase,clothing,debit_card
TXN059,CUST023,2023-04-08,68.99,purchase,books,credit_card
TXN060,CUST024,2024-12-08,45.99,purchase,books,debit_card
TXN061,CUST024,2024-11-25,79.50,purchase,electronics,credit_card
TXN062,CUST025,2024-12-16,205.00,purchase,electronics,credit_card
TXN063,CUST025,2024-11-30,158.50,purchase,clothing,paypal
TXN064,CUST025,2024-10-18,112.99,purchase,books,debit_card
TXN065,CUST026,2024-10-28,620.00,purchase,electronics,credit_card
TXN066,CUST026,2024-08-15,485.50,purchase,jewelry,credit_card
TXN067,CUST026,2024-06-22,350.00,purchase,home_goods,paypal
TXN068,CUST027,2024-12-02,88.99,purchase,clothing,credit_card
TXN069,CUST027,2024-11-10,65.50,purchase,books,debit_card
TXN070,CUST028,2024-12-30,52.99,purchase,electronics,credit_card
TXN071,CUST028,2024-12-20,78.50,purchase,clothing,paypal
TXN072,CUST029,2023-11-08,245.00,purchase,electronics,credit_card
TXN073,CUST029,2023-09-20,185.50,purchase,jewelry,credit_card
TXN074,CUST030,2024-11-18,69.99,purchase,books,debit_card
TXN075,CUST030,2024-10-05,95.50,purchase,clothing,credit_card
TXN076,CUST031,2024-12-24,188.75,purchase,electronics,credit_card
TXN077,CUST031,2024-12-10,142.00,purchase,home_goods,paypal
TXN078,CUST031,2024-11-22,98.50,purchase,clothing,credit_card
TXN079,CUST032,2023-09-25,75.99,purchase,books,debit_card
TXN080,CUST032,2023-07-12,105.50,purchase,clothing,credit_card
TXN081,CUST033,2024-12-19,540.00,purchase,electronics,credit_card
TXN082,CUST033,2024-11-28,395.50,purchase,jewelry,paypal
TXN083,CUST033,2024-10-15,280.00,purchase,home_goods,credit_card
TXN084,CUST034,2024-10-30,58.99,purchase,books,debit_card
TXN085,CUST034,2024-09-15,82.50,purchase,clothing,credit_card
TXN086,CUST035,2023-12-10,225.00,purchase,electronics,credit_card
TXN087,CUST035,2023-10-22,168.50,purchase,jewelry,paypal
TXN088,CUST036,2024-12-28,92.99,purchase,electronics,credit_card
TXN089,CUST036,2024-12-15,68.50,purchase,clothing,debit_card
TXN090,CUST036,2024-11-20,125.00,purchase,home_goods,credit_card
TXN091,CUST037,2024-11-05,76.99,purchase,books,debit_card
TXN092,CUST037,2024-10-20,98.50,purchase,clothing,credit_card
TXN093,CUST038,2023-08-18,265.00,purchase,electronics,credit_card
TXN094,CUST038,2023-06-30,195.50,purchase,jewelry,paypal
TXN095,CUST039,2024-12-26,598.00,purchase,electronics,credit_card
TXN096,CUST039,2024-12-12,425.50,purchase,jewelry,credit_card
TXN097,CUST039,2024-11-28,310.00,purchase,home_goods,paypal
TXN098,CUST039,2024-11-10,245.99,purchase,clothing,credit_card
TXN099,CUST040,2024-12-03,65.99,purchase,books,debit_card
TXN100,CUST040,2024-11-18,89.50,purchase,electronics,credit_card
TXN101,CUST041,2023-10-05,108.00,purchase,clothing,credit_card
TXN102,CUST041,2023-08-20,72.50,purchase,books,debit_card
TXN103,CUST042,2024-12-21,205.99,purchase,electronics,credit_card
TXN104,CUST042,2024-12-05,152.00,purchase,home_goods,paypal
TXN105,CUST042,2024-11-15,98.50,purchase,clothing,credit_card
TXN106,CUST043,2024-10-12,82.99,purchase,books,debit_card
TXN107,CUST043,2024-09-28,115.50,purchase,electronics,credit_card
TXN108,CUST044,2023-05-22,95.00,purchase,clothing,debit_card
TXN109,CUST044,2023-04-10,68.50,purchase,books,credit_card
TXN110,CUST045,2024-12-29,625.00,purchase,electronics,credit_card
TXN111,CUST045,2024-12-20,480.50,purchase,jewelry,paypal
TXN112,CUST045,2024-12-08,335.00,purchase,home_goods,credit_card
TXN113,CUST045,2024-11-25,275.99,purchase,clothing,credit_card
TXN114,CUST046,2024-12-17,192.75,purchase,electronics,credit_card
TXN115,CUST046,2024-11-30,148.00,purchase,clothing,paypal
TXN116,CUST046,2024-11-12,105.50,purchase,books,debit_card
TXN117,CUST047,2023-11-18,115.99,purchase,home_goods,credit_card
TXN118,CUST047,2023-09-30,82.50,purchase,clothing,paypal
TXN119,CUST048,2024-11-22,72.99,purchase,books,debit_card
TXN120,CUST048,2024-10-08,98.50,purchase,electronics,credit_card
TXN121,CUST049,2024-12-23,218.00,purchase,electronics,credit_card
TXN122,CUST049,2024-12-10,165.50,purchase,jewelry,paypal
TXN123,CUST049,2024-11-20,125.99,purchase,clothing,credit_card
TXN124,CUST050,2023-09-12,88.00,purchase,books,debit_card
TXN125,CUST050,2023-07-25,112.50,purchase,clothing,credit_card
TXN126,CUST051,2024-12-27,545.00,purchase,electronics,credit_card
TXN127,CUST051,2024-12-15,410.50,purchase,jewelry,paypal
TXN128,CUST051,2024-11-28,298.00,purchase,home_goods,credit_card
TXN129,CUST052,2024-11-10,68.99,purchase,books,debit_card
TXN130,CUST052,2024-10-25,92.50,purchase,clothing,credit_card
TXN131,CUST053,2023-08-15,235.00,purchase,electronics,credit_card
TXN132,CUST053,2023-06-28,178.50,purchase,jewelry,paypal
TXN133,CUST054,2024-10-18,75.99,purchase,books,debit_card
TXN134,CUST054,2024-09-05,102.50,purchase,electronics,credit_card
TXN135,CUST055,2024-12-30,58.99,purchase,clothing,debit_card
TXN136,CUST055,2024-12-28,82.50,purchase,books,credit_card
TXN137,CUST056,2023-10-22,215.00,purchase,electronics,credit_card
TXN138,CUST056,2023-08-30,165.50,purchase,jewelry,paypal
TXN139,CUST057,2024-12-25,615.00,purchase,electronics,credit_card
TXN140,CUST057,2024-12-18,465.50,purchase,jewelry,credit_card
TXN141,CUST057,2024-12-05,325.00,purchase,home_goods,paypal
TXN142,CUST057,2024-11-22,268.99,purchase,clothing,credit_card
TXN143,CUST058,2024-11-15,85.99,purchase,books,debit_card
TXN144,CUST058,2024-10-28,118.50,purchase,electronics,credit_card
TXN145,CUST059,2023-09-08,95.00,purchase,clothing,credit_card
TXN146,CUST059,2023-07-20,68.50,purchase,books,debit_card
TXN147,CUST060,2024-12-20,198.75,purchase,electronics,credit_card
TXN148,CUST060,2024-12-08,152.00,purchase,clothing,paypal
TXN149,CUST060,2024-11-18,110.50,purchase,books,debit_card
TXN150,CUST061,2024-10-25,72.99,purchase,books,debit_card
TXN151,CUST061,2024-09-10,95.50,purchase,clothing,credit_card
TXN152,CUST062,2023-07-28,245.00,purchase,electronics,credit_card
TXN153,CUST062,2023-06-10,185.50,purchase,jewelry,paypal
TXN154,CUST063,2024-12-28,635.00,purchase,electronics,credit_card
TXN155,CUST063,2024-12-22,492.50,purchase,jewelry,paypal
TXN156,CUST063,2024-12-12,345.00,purchase,home_goods,credit_card
TXN157,CUST063,2024-11-28,285.99,purchase,clothing,credit_card
TXN158,CUST064,2024-11-08,88.99,purchase,books,debit_card
TXN159,CUST064,2024-10-20,125.50,purchase,electronics,credit_card
TXN160,CUST065,2023-08-05,105.00,purchase,clothing,credit_card
TXN161,CUST065,2023-06-18,78.50,purchase,books,debit_card
TXN162,CUST066,2024-12-24,208.75,purchase,electronics,credit_card
TXN163,CUST066,2024-12-10,158.00,purchase,home_goods,paypal
TXN164,CUST066,2024-11-25,122.50,purchase,clothing,credit_card
TXN165,CUST067,2024-11-12,79.99,purchase,books,debit_card
TXN166,CUST067,2024-10-28,108.50,purchase,electronics,credit_card
TXN167,CUST068,2023-06-15,92.00,purchase,clothing,debit_card
TXN168,CUST068,2023-05-02,65.50,purchase,books,credit_card
TXN169,CUST069,2024-12-26,642.00,purchase,electronics,credit_card
TXN170,CUST069,2024-12-19,505.50,purchase,jewelry,paypal
TXN171,CUST069,2024-12-08,358.00,purchase,home_goods,credit_card
TXN172,CUST069,2024-11-24,298.99,purchase,clothing,credit_card
TXN173,CUST070,2024-12-18,195.75,purchase,electronics,credit_card
TXN174,CUST070,2024-12-05,145.00,purchase,clothing,paypal
TXN175,CUST070,2024-11-20,108.50,purchase,books,debit_card
TXN176,CUST071,2023-10-15,118.00,purchase,home_goods,credit_card
TXN177,CUST071,2023-08-28,85.50,purchase,clothing,paypal
TXN178,CUST072,2024-11-05,75.99,purchase,books,debit_card
TXN179,CUST072,2024-10-18,102.50,purchase,electronics,credit_card
TXN180,CUST073,2023-05-22,255.00,purchase,electronics,credit_card
TXN181,CUST073,2023-04-08,192.50,purchase,jewelry,paypal
TXN182,CUST074,2024-10-12,69.99,purchase,books,debit_card
TXN183,CUST074,2024-09-25,95.50,purchase,clothing,credit_card
TXN184,CUST075,2024-12-27,625.00,purchase,electronics,credit_card
TXN185,CUST075,2024-12-20,485.50,purchase,jewelry,paypal
TXN186,CUST075,2024-12-10,338.00,purchase,home_goods,credit_card
TXN187,CUST075,2024-11-28,275.99,purchase,clothing,credit_card
TXN188,CUST076,2023-07-12,102.00,purchase,clothing,debit_card
TXN189,CUST076,2023-05-28,75.50,purchase,books,credit_card
TXN190,CUST077,2024-12-22,215.75,purchase,electronics,credit_card
TXN191,CUST077,2024-12-08,168.00,purchase,home_goods,paypal
TXN192,CUST077,2024-11-18,128.50,purchase,clothing,credit_card
TXN193,CUST078,2024-10-28,82.99,purchase,books,debit_card
TXN194,CUST078,2024-09-15,112.50,purchase,electronics,credit_card
TXN195,CUST079,2023-09-20,108.00,purchase,clothing,credit_card
TXN196,CUST079,2023-07-30,78.50,purchase,books,debit_card
TXN197,CUST080,2024-12-29,655.00,purchase,electronics,credit_card
TXN198,CUST080,2024-12-24,512.50,purchase,jewelry,paypal
TXN199,CUST080,2024-12-15,368.00,purchase,home_goods,credit_card
TXN200,CUST080,2024-12-02,305.99,purchase,clothing,credit_card
TXN201,CUST081,2024-12-19,202.75,purchase,electronics,credit_card
TXN202,CUST081,2024-12-10,155.00,purchase,clothing,paypal
TXN203,CUST081,2024-11-22,115.50,purchase,books,debit_card
TXN204,CUST082,2023-11-12,125.00,purchase,home_goods,credit_card
TXN205,CUST082,2023-09-25,92.50,purchase,clothing,paypal
TXN206,CUST083,2024-11-18,78.99,purchase,books,debit_card
TXN207,CUST083,2024-10-05,105.50,purchase,electronics,credit_card
TXN208,CUST084,2023-08-22,235.00,purchase,electronics,credit_card
TXN209,CUST084,2023-07-05,178.50,purchase,jewelry,paypal
TXN210,CUST085,2024-12-05,85.99,purchase,books,debit_card
TXN211,CUST085,2024-11-20,118.50,purchase,clothing,credit_card
TXN212,CUST086,2024-12-30,645.00,purchase,electronics,credit_card
TXN213,CUST086,2024-12-25,498.50,purchase,jewelry,paypal
TXN214,CUST086,2024-12-18,352.00,purchase,home_goods,credit_card
TXN215,CUST086,2024-12-08,292.99,purchase,clothing,credit_card
TXN216,CUST087,2023-10-08,112.00,purchase,clothing,credit_card
TXN217,CUST087,2023-08-20,82.50,purchase,books,debit_card
TXN218,CUST088,2024-12-23,212.75,purchase,electronics,credit_card
TXN219,CUST088,2024-12-12,162.00,purchase,home_goods,paypal
TXN220,CUST088,2024-11-28,125.50,purchase,clothing,credit_card
TXN221,CUST089,2024-11-10,79.99,purchase,books,debit_card
TXN222,CUST089,2024-10-22,108.50,purchase,electronics,credit_card
TXN223,CUST090,2023-06-18,98.00,purchase,clothing,debit_card
TXN224,CUST090,2023-05-05,72.50,purchase,books,credit_card
TXN225,CUST091,2024-12-27,662.00,purchase,electronics,credit_card
TXN226,CUST091,2024-12-22,525.50,purchase,jewelry,paypal
TXN227,CUST091,2024-12-15,375.00,purchase,home_goods,credit_card
TXN228,CUST091,2024-12-05,312.99,purchase,clothing,credit_card
TXN229,CUST092,2024-12-20,205.75,purchase,electronics,credit_card
TXN230,CUST092,2024-12-08,158.00,purchase,clothing,paypal
TXN231,CUST092,2024-11-25,118.50,purchase,books,debit_card
TXN232,CUST093,2023-09-15,122.00,purchase,home_goods,credit_card
TXN233,CUST093,2023-07-28,88.50,purchase,clothing,paypal
TXN234,CUST094,2024-12-30,82.99,purchase,electronics,credit_card
TXN235,CUST094,2024-12-28,112.50,purchase,clothing,debit_card
TXN236,CUST095,2024-12-24,222.75,purchase,electronics,credit_card
TXN237,CUST095,2024-12-15,172.00,purchase,home_goods,paypal
TXN238,CUST095,2024-12-02,132.50,purchase,clothing,credit_card
TXN239,CUST096,2023-07-15,245.00,purchase,electronics,credit_card
TXN240,CUST096,2023-05-28,185.50,purchase,jewelry,paypal
TXN241,CUST097,2024-12-12,88.99,purchase,books,debit_card
TXN242,CUST097,2024-11-28,125.50,purchase,electronics,credit_card
TXN243,CUST098,2024-10-20,75.99,purchase,books,debit_card
TXN244,CUST098,2024-09-08,102.50,purchase,clothing,credit_card
TXN245,CUST099,2023-10-05,228.00,purchase,electronics,credit_card
TXN246,CUST099,2023-08-18,172.50,purchase,jewelry,paypal
TXN247,CUST100,2024-11-15,85.99,purchase,books,debit_card
TXN248,CUST100,2024-10-30,115.50,purchase,electronics,credit_card
===END===
